,subwatershed,area,perimeter,circulatory_ratio,relief,avg_slope,watershed_length,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,x_area,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population,population_density,avg_median_income,housing_density,population_change,dependent_population_pct,dist_to_stream_avg (m),dist_to_stream_stdev (m),lu_21_area,lu_22_area,lu_23_area,lu_24_area,lu_41_area,lu_82_area,avg_impervious_percent,orb100yr24ha_am,orb25yr24ha_am,orb2yr24ha_am,orb50yr24ha_am,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
0,0.0,0.35805142100673903,0.1525359387595926,0.5704622954274935,0.40968299794319174,0.19468984232135753,0.6851622259152418,0.3775127849391137,0.0008435590674418956,0.0001358743205275186,0.1643092578043777,0.0012123747313929048,0.1031708816728503,0.004338394793926247,0.06348935260391907,0.0033126293995859213,0.047189734457507,0.25,0.0909090909090909,0.04292896056615816,0.1387034659028358,0.06173336464168708,4.040764353378574e-05,0.6743606806573195,0.00016588857149384896,0.02843129104663729,0.742222657155243,0.06016895508622357,0.07689981678108158,0.061707044157957185,0.01815043066567393,0.0034462300869160505,0.0015735857449856734,0.31565099621296516,0.6831883315716635,0.006396786373900674,0.13783010225948722,0.16479356427063152,0.23319040792830137,0.15071203103137787,0.381858745348272,0.3501928453525765
1,0.019656390882394348,0.5790034594823964,0.26818093691071465,0.4811816132625849,0.1950309048302876,0.050703941716904274,0.46837597770472306,0.5421807155150675,0.0007377222826049506,5.4616643759453467e-05,0.11018153748398454,0.0006096316169267294,0.08627212332816547,0.00027114967462039046,0.0,0.0,0.1511396977685551,0.0,0.12727272727272726,0.0596443567766363,0.0,0.049103798374201924,2.254315783186323e-05,0.8070892278549702,7.343197951677477e-05,0.03452766924377199,0.6307963213846657,0.07309884493867791,0.07851934394306613,0.07493161967134132,0.015407177685507608,0.003287058413806899,0.0011512659025787965,0.23309994867527392,1.0,0.0033808370348998515,0.3410982262558906,0.2375855116383665,0.0,0.29241670572466294,0.7457764774631068,0.1462221739775466
2,0.0196583957852301,0.23203305123200135,0.2906170063388167,0.21533980913447154,0.09453724864415197,0.0,0.17785676023271252,0.7119511294589985,0.0007600562960423758,2.2202407153165995e-05,0.12365365772272033,0.0004088780881783111,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.013875494737317945,0.11624263134677738,0.02624870014424206,2.11565631383271e-05,0.9973469878586054,6.374417346157467e-05,0.04877102557707762,0.7239287815204323,0.07295835800859181,0.086615430793314,0.012197099508174832,0.028937906377082944,0.0034107064895709336,0.002171649570200573,0.011497184640458048,0.7551235247002231,0.01213608260637191,0.5402421606417915,0.4746598444421797,0.3026410712000347,0.5108792831476356,0.21050443116255757,0.0690125146268971
3,0.01966178789455375,0.5644473386603718,0.37541193392689487,0.2975659383056686,0.32552078021579134,0.1372078801868014,0.7088453244365177,0.41092905949268455,0.0007100950931968954,0.00011136096338286547,0.1243625777660268,0.0008542727868508101,0.08500491765127546,0.0013557483731019523,0.0,0.0,0.025952109518116776,0.0,0.3636363636363636,0.09217405275174353,0.38303563586691197,0.08312926995628013,4.184094437531258e-05,0.8020739125257577,0.00020442126177143993,0.02851442347659822,0.7472118960554504,0.10261352210897748,0.1215752666506689,0.11742167872395098,0.03870773533032513,0.011562340021300669,0.007078834097421204,0.07820549566623308,0.9991284926444789,0.016606570214693837,0.9887150647216667,0.9761982609345901,0.952708087406938,0.9830167537701451,0.051676723245919855,1.7249087537467614e-05
4,0.019704930217303573,0.5235053146996255,0.18129950577060117,0.6436758488936758,0.004430781036740217,0.02633271280211702,0.24627485545974392,0.7387151699793265,0.0006816681306980592,1.900665410590996e-05,0.033482006016706985,0.00018698788156712746,0.06872959382112477,0.11008676789587853,0.3208783352958164,0.15445134575569358,0.017990349309910416,0.0,0.0909090909090909,0.08691840155750283,0.2058088722578143,0.07399953037469391,3.8794367513030786e-05,0.7020968942203887,0.00026640537074697906,0.019840939950674756,0.614997065199959,0.06461746056860279,0.08643268821132832,0.1048828000529573,0.06602978620843293,0.03909027709260464,0.025867980587392547,0.04161285283669359,0.9609740165545406,0.036934604728412014,0.46142565646955225,0.4085591751517472,0.2808648499135984,0.4368418311721105,0.5948975679206311,0.33073525837099765
5,0.019704944874172625,0.5604496103163384,0.5609474877077129,0.1138457329831905,0.45886015359047216,0.20515489083697533,0.9999999999999999,0.3182953327866414,6.836894181968366e-05,0.0001994454554543135,0.12665947870633973,0.0001520069111939417,0.11776886700200545,0.08405639913232105,0.22210923821855935,0.13167701863354037,0.2847017508759477,1.0,0.6727272727272727,0.8775465082398517,0.24810437282315828,1.0,0.0005507581261156744,0.4833150124877552,0.007545329593644165,0.2603984814476127,0.0,0.6475226542312847,0.8935435186230708,0.7689804843993456,1.0,0.6474054178230827,0.3151862464183381,0.24405661808412807,0.000783766757107655,0.5653614369730526,0.30657870866756687,0.3265050089018713,0.37927887324494414,0.3173388837651441,0.7560964300942818,0.2581437002801358
6,0.01970494982515536,0.1150427151159461,0.20200079292405682,0.252582601969618,0.5057634017071433,0.10811416321769884,0.7195389401636408,0.30849751517584345,7.768302545358754e-05,0.00021357542340611307,0.19618372417538935,0.0001841829740785455,0.04967463241515423,0.04067245119305857,0.13791461155620408,0.11304347826086956,0.1645809832376475,0.25,0.5272727272727272,0.35011353188193856,0.0,0.5464258159739693,0.0005235448784734465,0.8174128039936501,0.004693943900898868,0.46277052678249786,0.6513317393220626,0.4038162186880086,0.5150520065920059,0.5985194825969211,0.5116650746586153,0.32785182728255646,0.20630372492836674,0.0777762848839529,0.0027431836498767927,0.5221663500997915,0.36416908784251545,0.36949771087851024,0.385754409264254,0.3677134203192045,0.5359847922489024,0.23627480029718234
7,0.019704949874174815,0.5136417168067634,0.5447782907525999,0.10895873093754749,0.46719781717067077,0.1526465519196956,0.8430129154810325,0.35393803184954487,0.0001073602370115854,0.00015744061015304404,0.1548807227443984,0.00021513576523988484,0.23029287094502462,1.0,0.5450711210167325,0.5904761904761905,0.49904996385405725,0.5,0.8545454545454545,0.7316351765739999,0.2579462490583282,0.8861046817170396,0.0005105828732549349,1.0,0.005977768591982749,0.578878820627927,0.0865854940381583,0.5115023931549377,0.7754632214239093,1.0,0.7970710273794004,0.5459223720827383,0.3968481375358166,0.06585654773698695,0.00039188337855382754,0.5384844940296902,0.32530100181356536,0.3372356977692754,0.36938754592195,0.332215519370223,0.8314687302528907,0.2884495618927309
8,0.01970495492319646,0.34736903004678177,0.28546661247703087,0.2968959228558343,0.4940856846156334,0.1008028755203561,0.6247071230386699,0.39957571598410546,0.00013845317259658646,0.00011901131721200805,0.21667865338537748,0.0002777172517864966,0.09597001683397632,0.471529284164859,0.7808309481731543,1.0,0.22750283411494004,0.0,0.9272727272727272,0.48900748321726306,0.31322759615584067,0.8144812317600886,0.0005631105917055126,0.47606798609481027,0.0060541110830427975,0.24080693878682075,0.3642144397151279,0.2776721992888347,0.41678782463619835,0.5414855383848317,0.7656229702188981,0.7328399819114656,0.5809455587392549,0.07002845573842503,0.0005225111714051035,0.7425572822353638,0.36424406800223075,0.37624022883890307,0.4123872825652244,0.3709385168722257,0.6507698871950972,0.33547613008535127
9,0.01970495497221636,0.15188712081843114,0.3171138203188478,0.1358830781948241,0.48617029432473136,0.17590974004760432,0.5040445165446368,0.40248338130435574,9.873166596820818e-05,0.00011699093637463986,0.2532009281472354,0.0002101686607523705,0.0714137344740055,0.29690889370932755,0.6609346592081599,0.6960662525879917,0.20932852474160835,0.5,0.3454545454545454,0.4590595327515451,0.551593002595404,0.7567564545525701,0.0006826910389446586,0.44501141128617694,0.006878858969787225,1.0,0.4017501124489633,0.3825841485655467,0.5441082205162497,0.4171643566191537,0.6223266342894395,0.497776927126854,0.29441260744985676,0.052148850017976076,0.012279012528019929,0.6544393050139111,0.3426669122945847,0.36351850451114265,0.4236047117812971,0.3540019722175902,0.5501300061330593,0.19301276109036328
