circulatory_ratio,relief,avg_slope,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population_density,avg_median_income,population_change,dependent_population_pct,dist_to_stream_avg,dist_to_stream_stdev,avg_impervious_percent,orb100yr24ha_am,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
0.25,0.027459638,0.002612671,0.308333333,0.048632219,0.361504907,0,0,0.130948862,0.00867679,0,0,0,0.157894737,0.027488742,0.062728303,0.092553644,0.561329496,0.032750972,0.737839222,0.435253796,0.302170696,0,0.638119685,0.274569245,0.171733708
0.730769231,0.064923417,0.066623122,0.441666667,0.03343465,0.069247546,0,0,0.041531185,0.093275488,0.154865424,0.060820368,0.285714286,0.192982456,0.253737256,0.33417307,0.285767091,0.231647285,0.024919218,0.789042499,0.545483612,0.583316889,0.373277182,0.437856298,0.843061341,0.466658053
0.653846154,0.023871947,0.013063357,0.341666667,0.05775076,0.365866957,0,0.076923077,0.01891812,0.002440347,0,0.002828854,0,0.087719298,0.009766588,0.14598816,0.006405825,0.68731345,0.05854647,0.895033282,0.390849989,0.428556159,0.0237366,0.571371175,0.321580087,0.333516447
0.692307692,0.480474679,0.25081646,0.083333333,0.050151976,0.100327154,0.5,0.076923077,0.029263967,0.000813449,0,0.036775106,0,0.333333333,0.037821275,0.105051014,0.038575415,0.561392416,0.057478504,0.627240143,0.344095853,0.344976155,0,0.638119685,0.495006194,0.072351096
0.634615385,0.023871947,0.013063357,0.366666667,0.025835866,0.296074155,0,0.025641026,0.047738693,0.000542299,0,0.067892504,0,0.263157895,0.040319516,0.03640257,0.012859704,0.472674944,0.037241908,0.920634921,0.632855228,0.711807269,0.0237366,0.571371175,0.240250244,0.057361815
0.269230769,0.266593073,0.086218158,0.008333333,0.06231003,0.438386041,0,0.051282051,0.077298256,0.031724512,0.035610766,0.042432815,0,0.210526316,0.082886641,0.197002141,0.119248896,0.637515716,0.061476532,0.705581157,0.344006103,0.258789673,0.063935681,0.414745207,0.289285677,0.231395946
0.346153846,0.743894025,0.16198563,0.308333333,0.036474164,0.456924755,0.5,0.076923077,0.024534437,0.001355748,0,0.001414427,0,0.105263158,0.016541755,0,0.033492894,0.613310522,0.065830549,0.72094214,0.500350586,0.690314093,0.005742726,0.543045914,0.097708652,0.000959244
0.173076923,0.190837588,0.131286741,0.358333333,0.030395137,0.327153762,0,0,0,0,0,0.080622348,0,0.245614035,0.075359577,0.09270689,0.049501913,0.362621018,0.036776384,0.505888377,0.720428781,0.498692649,0.015313936,0.486846276,0.193326557,0
0.519230769,0.314750931,0.278902678,0.675,0.037993921,0.05997819,0.5,0.025641026,0,0,0,0.079207921,0,0.333333333,0.151600411,0.19939539,0.137024784,0.370213627,0.016320719,0.615975422,0.531869661,0.494227923,0.053598775,0.608749805,0.819267205,0.340151
0.307692308,0.304056851,0.135205748,0.4,0.664133739,0.255179935,0,0.666666667,0.084983742,0.001355748,0,0.025459689,0,0.385964912,0.092176219,0.383045724,0.056351304,0.586679028,0.039980284,0.797747056,0.025741419,0.019791153,0.019525268,0.767447155,0.042530133,1.69E-05
0.461538462,0.340278736,0.276290007,0.1,0.019756839,0.018538713,0.5,0.025641026,0.18312149,0.011930586,0,0.062234795,0,0.192982456,0.034975381,0.108955788,0.029001793,0.701209148,0.038556328,0.756784434,0.760597511,0.589343858,0.007848392,0.776205888,0.754307795,0.000711782
0.673076923,0.244101007,0.082299151,0.008333333,0.036474164,0.10087241,0,0.025641026,0.045078333,0,0,0.045261669,0,0.228070175,0.017592795,0.193223328,0.070194245,0.361653877,0.043512788,0.86687148,0.350367134,0.333070219,0.004019908,0,0.4198022,0.010155566
0.5,0.023871947,0.013063357,0.033333333,0.082066869,0.067611778,0,0.051282051,0.002955956,0,0,0.756718529,0.142857143,0.122807018,0.01114911,0.057186044,0.07303676,0.50721409,0.063694616,0.815668203,0.232615146,0.231499753,0.0237366,0.571371175,0.323337751,0.002290999
0.480769231,0.023871947,0.013063357,0,0.06231003,0.106870229,0,0,0.056163169,0.002982646,0,0.018387553,0,0.210526316,0.059901202,0.089179997,0.158485963,0.670758672,0.043786626,0.65437788,0.320676715,0.285495807,0.0237366,0.571371175,0.73731611,0.535598796
0.211538462,0.262177453,0.120836055,0.1,0.077507599,0.235550709,0,0.051282051,0.165385752,0.040130152,0,0.944837341,0.285714286,0.228070175,0.178466613,0.037536214,0.248618478,1,0.195437866,0.741935484,0.227275022,0.274749219,0,0.638119685,0.794553936,0.628257375
0.115384615,0.428591141,0.20182887,0.308333333,0.098784195,0.453107961,0,0.128205128,0.117794857,0.084056399,0.131677019,0.224893918,0.571428571,0.684210526,0.87754574,0.248142083,0.741733972,0.353522115,0.269127554,0.414234511,0.356279414,0.361889492,0.56661562,0.237967903,0.622270553,0.253534667
0.115384615,0.436387471,0.150228609,0.341666667,0.133738602,0.358778626,0,0.179487179,0.230268992,1,0.59047619,0.388967468,0.285714286,0.859649123,0.731637116,0.257966998,0.68762637,0.731452412,0.583849061,0.458781362,0.273771126,0.309562572,0.539816233,0.252503292,0.684302262,0.283299411
0.288461538,0.461501311,0.099281515,0.391666667,0.161094225,0.272628135,0,0.230769231,0.09592078,0.471529284,1,0.181046676,0,0.929824561,0.489008546,0.313263635,0.758367679,0.348221073,0.249767238,0.601126472,0.131932486,0.150616675,0.743300153,0.282730296,0.535586267,0.329486324
0.057692308,0.448530426,0.141084259,0.266666667,0.162613982,0.641221374,0,0.230769231,0.072716524,0.151301518,0.168115942,0.100424328,0,0.526315789,0.410956689,0.277112987,0.8907609,0.279253723,0.249712471,0.671274962,0.119771362,0.122471633,0.619831547,0.189129707,0.475454972,0.239589651
0.057692308,0.442113978,0.145003266,0.25,0.161094225,0.739912759,0,0.230769231,0.046260715,0.081344902,0.380538302,0.117397454,0,0.578947368,0.265832303,0.068270563,0.934130519,0.554584635,0.199791883,0.732718894,0.139471485,0.159225456,0.501339969,0.185214616,0.342737363,0.199628503
0,0.387539672,0.16525147,0.558333333,0.12006079,0.10959651,0,0.153846154,0.565031038,0.985629067,0.894824017,0.773691655,0.142857143,0.771929825,0.747103576,0.604484192,0.469554771,0.215582969,0.196040309,0.51203277,0.202526462,0.227331031,0.583460949,0.218771902,0.823004183,0.321427699
