subwatershed,area,perimeter,circulatory_ratio,relief,avg_slope,watershed_length,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,x_area,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population,population_density,avg_median_income,housing_density,population_change,dependent_population_pct,dist_to_stream_avg (m),dist_to_stream_stdev (m),lu_21_area,lu_22_area,lu_23_area,lu_24_area,lu_41_area,lu_82_area,avg_impervious_percent,orb100yr24ha_am,orb25yr24ha_am,orb2yr24ha_am,orb50yr24ha_am
51201100605,65.57454578,51.55209765,0.310064805,123.8543243,3.436343431,24.60132664,0.366629619,0.385031709,9.47229083,0.005034457,0.047687842,1.664638212,5,0,0,0.033727434,0,6,71.27743873,0,9157,143.3148467,61160.5,3.724902645,592,39.2,957.0586541,881.0053478,2.081725756,0.504328717,0.037351308,0,8.741105418,52.78262868,0.450099498,6576.410645,5198.863281,2833.494629,5873.600098
51201011404,41.80619572,31.8306438,0.518513022,94.09858684,2.578811407,10.84305649,0.005983652,6006.103938,35561.28852,0.008678234,565.1658929,0.268084927,0,0.088334852,0,0.092856271,0,5,52.68174128,0,3413,1032310.48,61141,73801.27663,-396,39.7,855.5902746,693.6979598,1.493406906,0.319176055,0.038167516,0.0009,4.566745747,33.8985919,0.476266325,6083.467773,4787.59668,2570.467773,5418.177246
51202040404,82.15676487,55.31201805,0.337453693,19.48902893,1.163289547,10.5033989,0.000260786,7629617.997,18721500.24,0.001855497,148693.8459,7.320544417,79,1.40009627,27,0.183781502,0,10,163.8846521,12.00466774,43425,7369207006,64635.57143,149844785,1697,38.65714286,785.0753258,447.4173703,4.543870395,2.279517131,1.278669074,0.528909687,3.568666749,67.53220339,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
51201081606,66.58443709,42.75150386,0.457804233,19.48902893,1.163289547,20.45411481,0.439083995,0.322874849,6.604119224,0.000952817,0.006292517,3.226772692,2,0,0,0.504322698,0,15,100.6916469,2.887600041,5581,88.09789851,54835,0.915548847,-452,43.1,1193.27805,907.1501055,2.551576611,1.071759321,0.165157636,0.037813412,13.12964423,44.55308269,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
51202070703,60.30844927,41.39200284,0.44233891,19.48902893,1.163289547,18.5282826,2.54213E-05,106335942.5,1970222394,0.001051853,2072384.26,4.424574508,3,0,0,1.980261384,0,4,83.54149468,4.846998748,24189,1.38823E+11,51869,1532343676,901,37.9,1061.131671,721.7955773,2.551326036,0.290563472,0.058417428,0.0189,22.63112321,23.60552189,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
51201080606,56.34028141,38.98406062,0.465859256,19.48902893,1.163289547,20.64396558,0.405574854,0.529434292,7.740483299,0.000944055,0.01031816,1.28257007,9,0,0,0.042430265,0,5,62.89880417,11.58626057,3739,67.91055667,64489,1.344044181,326,42.6,761.8530028,562.664723,1.307486802,0.792893693,0.025205168,0.0018,14.14802577,37.69783862,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
51202010606,55.45791678,42.6901242,0.382400612,19.48902893,1.163289547,12.48850039,0.001444715,119274.5076,610022.134,0.001560558,2324.544329,3.804425579,11,0.005638939,0,0.15387227,0,12,124.9145868,7.078520767,26497,103638642.3,63744.4,2647973.766,-213,37.9,636.7529235,388.6664621,3.02242755,1.867983883,0.370198076,0.165021375,3.028384787,44.18863589,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
51201011004,88.48639569,77.7932823,0.183739351,19.48902893,1.163289547,12.30385585,0.004562349,19940.10884,61169.2355,0.001583977,388.6133581,18.94605107,171,1.453755327,179,2.392314768,2,20,389.0037457,27.51980392,52231,21104687.44,75870,1896678.272,1973,39.15833333,1109.647571,709.6955134,13.48890751,15.39008994,5.313087558,1.945776891,11.50760954,30.21426366,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
71200010602,51.16999305,40.68171299,0.388531969,19.48902893,1.163289547,10.17306771,0.793434,0.488090786,2.022499882,0.001915747,0.009512415,0,0,0,0,6.576510691,0,2,211.1969752,0,8860,173.1483495,53627.66667,14.14891705,-684,41.6,865.0988974,516.572908,1.792365234,2.030582837,0.215180555,0.018929887,10.8447395,24.04181306,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
50800030102,84.66826926,61.079561,0.285192915,19.48902893,1.163289547,29.99042268,0.000135993,5049167.963,68845255.16,0.000649842,98403.38051,2.803218349,4,0.246669131,7,0.23177553,1,13,123.7803506,10.88663869,9778,748443245.7,52028.33333,24493949.54,30,41.23333333,451.6616737,301.5366623,3.766415306,0.417501025,0.088983929,0.061590575,9.329719594,61.58743445,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
51202080203,76.33404298,45.42875706,0.464800322,19.48902893,1.163289547,20.7102981,0.445348199,0.711922726,6.419640639,0.000941031,0.013874683,9.520886395,8,0,0,0.420384212,1,12,84.74984976,0,10945,163.8150442,58525.5,5.882075135,1874,41.25,1002.399591,609.2521028,3.190611396,0.076310736,0.013041459,0.002570878,41.16814704,9.766784835,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
51201020108,58.48723954,40.80096676,0.441499363,19.48902893,1.163289547,8.591842653,0.340038273,7.681865089,11.01170364,0.002268318,0.149712091,6.893536115,6,0,0,0.309267272,0,7,90.03018295,0,3257,485.8471317,55366,23.71805156,-111,42.5,340.6856993,280.500465,2.471921033,0.229280685,0.027509863,0.014893943,3.982588503,50.62722066,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
51401010804,72.78180826,41.66925655,0.526745946,19.48902893,1.163289547,22.27812561,0.415674067,0.548357096,7.368927051,0.000874806,0.010686947,5.149162197,29,0.280252806,1,1.010036338,2,10,93.26939004,2.446794294,25518,378.8729449,64157,8.50749265,1699,37.1,743.3386184,426.2057325,3.870263423,0.287711183,0.034078133,0.008418901,27.62750177,14.81570198,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
51201030105,90.73861265,57.01081649,0.350822531,19.48902893,1.163289547,14.25883175,0.000109534,26654466.17,106122940.8,0.001366804,519469.6623,6.244557942,28,0,0,0.232964239,0,16,134.6080048,9.90000206,13666,7133173766,50030.6,139886621.5,-522,41.5,550.5998265,402.5395693,3.643316859,0.720611519,0.080437562,0.002744864,5.313701824,77.51463407,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
51202010108,43.92102661,37.56448236,0.391135765,19.48902893,1.163289547,9.586475149,0.043375429,221.4837552,676.741095,0.002032971,4.316503312,0.203329745,0,0.023991753,0,5.373858912,1,7,64.60691607,4.53584877,10832,79765.1708,56388.5,2488.979665,514,41.05,479.7573615,322.9982902,1.995240294,0.265070504,0.029747833,0.003162705,4.892455681,27.14189576,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
51202050501,75.31946699,46.25471502,0.442389777,19.48902893,1.163289547,20.61387105,0.475060546,0.4401082,5.641728625,0.000945433,0.008577281,0,0,0,0,0.089699567,0,18,112.8366895,8.505228103,28674,380.698673,62004.5,5.894894706,253,40.13333333,626.733038,532.4565768,2.77084929,1.234269992,0.315647985,0.051188795,3.499000767,63.35509999,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
51202030405,99.15066882,53.15134065,0.441039072,19.48902893,1.163289547,23.50228565,0.107820704,10.77934255,109.5231165,0.00082924,0.210078919,17.38050869,70,0,0,0.790059404,1,15,152.8571931,22.96318704,22384,4438.36781,56556.4,55.71753729,-173,35.46,784.5998057,531.1959698,4.367956707,0.557974335,0.041589298,0.023395494,55.01928936,24.41655226,1.389822125,6639.860352,5110.290527,2621.494629,5850.602051
