"","circulatory_ratio","relief","avg_slope","elongation_ratio","drainage_density","shape_factor","relief_ratio","ruggedness","aae_area","buildings_aae_count","buildings_x_count","water_bodies_area","dams_count","bridges_count","streets_km","railroads_km","population_density","avg_median_income","population_change","dependent_population_pct","dist_to_stream_avg","dist_to_stream_stdev","avg_impervious_percent","orb100yr24ha_am","policy_total_building_coverage_avg","claims_total_building_insurance_coverage_avg"
"1",0.615384615384615,0.479232785980406,0.196603527106466,0.0333333333333333,0.0592705167173252,0.211014176663032,0,0.102564102564103,0.0838013597398759,0.0119305856832972,0.0434782608695652,0.311173974540311,0.428571428571429,0.210526315789474,0.283708069562687,0.496284166771634,0.274082835862273,0.79062340546868,0.0825346404512843,0.697900665642601,0.312380450208388,0.323836540042756,0,0.638119684828464,0.780334334926803,0.335464728316301
"2",0.134615384615385,0.266317096729681,0.176355323318093,0.116666666666667,0.047112462006079,0.0659760087241003,0,0.0256410256410256,0.0434525569021579,0.000542299349240781,0,0.507779349363508,0,0,0.0656738379942921,0.0870386698576647,0.0578963904855194,0.422633757207698,0.0808094638260584,0.687660010240655,0.543492284305532,0.634139121854958,0,0.638119684828464,0.675885138099241,0.00181938218628856
"3",0.153846153846154,0.246446805574721,0.173089483997387,0.05,0.0455927051671733,0.069247546346783,0,0.0256410256410256,0.168489506355306,0.084056399132321,0.0107660455486542,1,0,0.087719298245614,0.081010938902229,0.309232900869127,0.0820891936348347,0.534314703093405,0.0451010460594775,0.929339477726575,0.436633702243189,0.597187962506167,0.014739663093415,0.167540903104842,0.458576660986627,0.273160464664981
"4",0.269230769230769,0.0854146543397268,0.0953625081645983,0.408333333333333,0.0592705167173252,0.0632497273718648,0,0.0256410256410256,0.195832101684895,0.142895878524946,0.209937888198758,0.193776520509194,0.142857142857143,0.43859649122807,0.383823683976489,0.79934500566822,0.389406176649971,0.274465154592417,0.0940084341968344,0.754224270353303,0.478502072663836,0.508592336786713,0.416156202143951,0.124702573603268,0.564635188777751,0.209793290255503
"5",0.307692307692308,0.0238719470125569,0.0130633572828217,0,0.0972644376899696,0.532715376226827,0,0.128205128205128,0.0413833875258646,0.00108459869848156,0.00289855072463768,0.0297029702970297,0.142857142857143,0.228070175438597,0.0589876058114434,0.137170928328505,0.0245661374683498,0.410273923111213,0.0504408784708911,0.824884792626728,0.216852804406725,0.213854629172833,0.0237366003062787,0.571371174750563,0.385399442548535,0
"6",0.576923076923077,0.382641092866014,0.191378184193338,0.366666666666667,0.781155015197568,0.310250817884406,0,0.948717948717949,0.103162873189477,0.00433839479392625,0.00331262939958592,0.0424328147100424,0.142857142857143,0.12280701754386,0.0429309466637561,0.138682453709535,0.0544180974735247,0.493262809887956,0.0398981324278438,0.795186891961085,0,0,0.00918836140888208,0.106984219102252,0.31427133528829,0.343940349719832
"7",0.384615384615385,0.948806402649372,0.431090790333116,0,0.0395136778115502,0.317884405670665,0.5,0.128205128205128,0.0255690215784806,0.00921908893709328,0,0.0282885431400283,0,0.087719298245614,0.0329379805476727,0.00541629928202544,0.0125011551185614,0.54364305176203,0.0616134509009256,0.874551971326165,0.425364469100761,0.555837855615853,0.00287136294027565,0.139836164371331,0.356911808226208,0.0996601705379459
"8",0.307692307692308,0.281633779494963,0.381450032658393,0,0.0638297872340426,0.553435114503817,0,0.0512820512820513,0.102571681939107,0.00542299349240781,0,0.0707213578500707,0,0.140350877192982,0.0289521129948984,0.0235546038543897,0.0708115400964755,0.584366784168687,0.0437592420176351,0.828469022017409,0.420596500872258,0.513114619306035,0.00516845329249617,0.239592866230665,0.427009715464751,0.467568048227714
"9",0.653846153846154,0.40147647302332,0.42194644023514,0.341666666666667,0.0531914893617021,0.175572519083969,0,0.0769230769230769,0.0631096659769435,0.00488069414316703,0,0.209335219236209,0.142857142857143,0.0526315789473684,0.0399637795402912,0.035898727799471,0.0764374295377678,0.470084785989579,0.0484692480420615,0.76600102406554,0.520886505528038,0.474222989639862,0,0.638119684828464,0.430260665975092,0.225203114858507
"10",0.788461538461539,0.934041672416172,0.983017635532332,0.458333333333333,0.0714285714285714,0.16412213740458,0.5,0.205128205128205,0.0611882944132427,0.0225054229934924,0.0144927536231884,0.0961810466760962,0,0.087719298245614,0.0316524776249727,0,0.0284029792817935,0.43552340646917,0.0441699983569746,0.915514592933948,0.338845478563776,0.384681795757277,0.00842266462480858,0.308778821901297,0.395728875922743,0.120040210028491
